,title,album,release_date,featured_artists,producer_artists,writer_artists,genius_track_id,genius_album_id
348,OVO Sound Radio Episode 22 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2016-03-21,[],[],[],2478446,128797.0
349,OVO Sound Radio Episode 23 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2016-06-04,[],[],[],2489011,128797.0
350,OVO Sound Radio Episode 24 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2016-07-02,[],[],[],2802628,128797.0
351,OVO Sound Radio Episode 25 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2016-07-16,[],[],[],2822143,128797.0
352,OVO Sound Radio Episode 26 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2016-07-30,[],[],[],2829728,128797.0
353,OVO Sound Radio Episode 27 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2016-08-13,[],[],[],2838629,128797.0
354,OVO Sound Radio Episode 28 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2016-08-27,[],[],[],2840710,128797.0
355,OVO Sound Radio Episode 29 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2016-09-10,[],[],[],2846596,128797.0
356,OVO Sound Radio Episode 2 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2015-07-25,[],[],[],2277237,128797.0
357,OVO Sound Radio Episode 30 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2016-09-24,[],[],[],2852479,128797.0
358,OVO Sound Radio Episode 31 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2016-10-08,[],[],[],2852482,128797.0
359,OVO Sound Radio Episode 32 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2016-10-23,[],[],[],2864119,128797.0
360,OVO Sound Radio Episode 33 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2016-11-05,[],[],[],2900119,128797.0
361,OVO Sound Radio Episode 34 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2016-11-19,[],[],[],2907950,128797.0
362,OVO Sound Radio Episode 35 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2016-12-10,[],['OVO Sound Radio'],['Drake'],2916564,128797.0
363,OVO Sound Radio Episode 36 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2017-01-07,[],[],[],2929782,128797.0
364,OVO Sound Radio Episode 37 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2017-02-04,[],[],[],2932805,128797.0
365,OVO Sound Radio Episode 38 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2017-02-18,[],[],[],2957318,128797.0
366,OVO Sound Radio Episode 39 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2017-03-18,[],[],[],2999276,128797.0
367,OVO Sound Radio Episode 3 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2015-08-08,[],[],[],2277239,128797.0
368,OVO Sound Radio Episode 40 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2017-04-01,[],[],[],3020397,128797.0
369,OVO Sound Radio Episode 41 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2017-04-15,[],[],[],3055556,128797.0
370,OVO Sound Radio Episode 42 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2017-04-29,[],[],['Drake'],3071428,128797.0
371,OVO Sound Radio Episode 43 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2017-05-13,[],[],[],3086638,128797.0
372,OVO Sound Radio Episode 44 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2017-05-27,[],[],['Drake'],3102958,128797.0
373,OVO Sound Radio Episode 45 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2017-06-10,[],[],['Drake'],3118766,128797.0
374,OVO Sound Radio Episode 46 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2017-06-23,[],[],[],3131759,128797.0
375,OVO Sound Radio Episode 47 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2017-07-08,[],[],[],3150105,128797.0
376,OVO Sound Radio Episode 48 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2017-07-22,[],[],[],3167943,128797.0
377,OVO Sound Radio Episode 49 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2017-08-05,[],[],[],3185842,128797.0
378,OVO Sound Radio Episode 4 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2015-08-22,[],[],[],2288556,128797.0
379,OVO Sound Radio Episode 50 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2017-08-19,[],[],[],3203733,128797.0
380,OVO Sound Radio Episode 51 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2017-09-09,[],[],[],3230949,128797.0
381,OVO Sound Radio Episode 52 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2017-09-23,[],[],[],3247637,128797.0
382,OVO Sound Radio Episode 53 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2017-10-08,[],[],[],3293347,128797.0
383,OVO Sound Radio Episode 54 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2017-10-15,[],"['Nineteen85', 'Oliver El-Khatib']",[],3278638,128797.0
384,OVO Sound Radio Episode 55 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2017-10-29,[],[],[],3293847,128797.0
385,OVO Sound Radio Episode 56 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2017-11-26,[],[],[],3335370,128797.0
386,OVO Sound Radio Episode 57 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2017-12-10,[],[],[],3358726,128797.0
387,OVO Sound Radio Episode 58 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2018-03-18,[],[],[],3586506,128797.0
388,OVO Sound Radio Episode 59 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2018-04-01,[],[],[],3618018,128797.0
389,OVO Sound Radio Episode 5 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2015-09-05,[],[],[],2297751,128797.0
390,OVO Sound Radio Episode 60 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2018-04-15,[],[],[],3649849,128797.0
391,OVO Sound Radio Episode 61 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2018-04-29,[],[],[],3683276,128797.0
392,OVO Sound Radio Episode 62 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2018-05-13,[],[],[],3713470,128797.0
393,OVO Sound Radio Episode 63 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2018-05-27,[],[],[],3743858,128797.0
394,OVO Sound Radio Episode 64 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2018-06-10,[],[],[],3772994,128797.0
395,OVO Sound Radio Episode 65 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2018-07-08,[],[],[],3825048,128797.0
396,OVO Sound Radio Episode 66 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2018-08-05,[],[],[],3878898,128797.0
397,OVO Sound Radio Episode 68 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2018-09-30,[],['OVO Sound Radio'],[],3989454,128797.0
398,OVO Sound Radio Episode 6 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2015-09-19,[],[],[],2310784,128797.0
399,OVO Sound Radio Episode 7 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2015-10-03,[],[],[],2321968,128797.0
400,OVO Sound Radio Episode 8 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2015-10-17,[],[],[],2332007,128797.0
401,OVO Sound Radio Episode 9 Tracklist,OVO Sound Radio Tracklists - Season 1 & 2,2015-11-01,[],[],[],2344303,128797.0
402,OVO Sound Radio [Setlists],OVO Sound Radio Tracklists - Season 1 & 2,2015-07-12,[],[],[],2864149,128797.0
403,Own It,Nothing Was the Same,2013-09-24,[],"['40', 'Detail', 'The Order']","['40', 'Sool Got Hits', 'Soko7', 'Dre Moon', 'Detail', 'Anthony Palman', 'Drake']",217264,40475.0
404,Pain 1993,Dark Lane Demo Tapes,2020-05-01,['Playboi Carti'],['Pi’erre Bourne'],"['Pi’erre Bourne', 'Playboi Carti', 'Drake']",4613586,630537.0
405,Pain 1993 (Demo),<single>,,[],['Pi’erre Bourne'],"['Drake', 'Pi’erre Bourne']",8722327,
406,Pain 1993 (Original)*,<single>,,['Playboi Carti'],['Pi’erre Bourne'],"['Playboi Carti', 'Drake', 'Pi’erre Bourne']",5522480,
407,Papi’s Home,Certified Lover Boy,2021-09-03,[],"['Preme', 'Oriyomi Ojelade', 'Supah Mario', 'Jarrel Young', 'Mark Borino']","['Nicki Minaj', 'Oriyomi Ojelade', 'Preme', 'Montell Jordan', 'Anthony “Shep” Crawford', 'Jarrel Young', 'Drake', 'Mark Borino', 'Supah Mario']",7165569,585647.0
408,Paris Morton Music,Young Sweet Jones,2010-07-10,[],"['J.U.S.T.I.C.E. League', '40']","['40', 'Rick Ross', 'Chrisette Michele', 'Erik Ortiz', 'Kevin Crowe', 'Drake']",776,881461.0
409,Passionfruit,More Life,2017-03-18,[],['Nana Rogues'],"['40', 'Nana Rogues', 'Drake']",3028662,286515.0
410,Payback,<single>,,[],['Boi-1da'],[],99140,
411,Peak,Scorpion,2018-06-29,[],['40'],"['Adrian X', 'Kenza Samir', '40', 'Drake']",3807755,420582.0
412,Pianist Hands,Room for Improvement,2006-02-14,[],"['Nick Brongers', 'Boi-1da']","['Nick Brongers', 'Boi-1da', 'Drake']",333538,2625.0
413,Pipe Down,Certified Lover Boy,2021-09-03,[],"['Leon Thomas III', 'FaxOnly', 'JEAN BLEU', 'Anthoine Walters']","['Bizzy Crook', 'Kas (Producer)', 'FaxOnly', 'Anthoine Walters', 'JEAN BLEU', 'Simon Gebrelul', 'Leon Thomas III', 'Drake']",7165573,585647.0
414,Pistols,<single>,2017-12-25,[],[],['Drake'],3393236,
415,Pistols (Remix),<single>,,['Romeo Santos'],[],[],5428489,
416,Please Forgive Me,<single>,2016-09-26,[],"['Kim Bradshaw', 'Larry Jackson']","['Larry Jackson', 'Anthony Mandler']",2867101,
417,Plenty*,<single>,,[],['Rvssian'],['Drake'],6095308,
418,Pop Rosé,Heartbreak Drake,2008-12-06,['Trey Songz'],[],"['Trey Songz', 'Drake']",57544,359632.0
419,Pop Style,Views,2016-04-05,[],"['40', 'Boi-1da', 'Sevn Thomas', 'Ging']","['Drake', 'JAY-Z', 'Kanye West', '40', 'Boi-1da', 'Ging', 'Sevn Thomas', 'Kenza Samir']",2453520,132506.0
420,Pop Style (Demo),<single>,,['Kanye West'],"['Sevn Thomas', 'Ging', '40', 'Boi-1da', 'Allen Ritter']","['Kanye West', 'Drake']",5468810,
421,Pop Style (Single Version),<single>,2016-04-05,['JAY-Z & Kanye West'],"['40', 'Boi-1da', 'Ging', 'Sevn Thomas']","['Drake', 'JAY-Z', 'Kanye West', '40', 'Boi-1da', 'Allen Ritter', 'Ging', 'Sevn Thomas', 'Kenza Samir']",2450579,
422,Portland,More Life,2017-03-18,"['Travis Scott', 'Quavo']","['CuBeatz', 'Murda Beatz']","['Kevin Gomringer', 'Tim Gomringer', 'Murda Beatz', 'Quavo', 'Travis Scott', 'Drake']",3028687,286515.0
423,Pound Cake / Paris Morton Music 2,Nothing Was the Same,2013-09-24,['JAY-Z'],"['The Order', 'Matthew Burnett', 'Detail', 'Jordan Evans', 'Boi-1da']","['Jim Eliot', 'Method Man', 'RZA', 'Ellie Goulding', 'Sool Got Hits', 'Soko7', 'Dre Moon', 'Drake', 'Anthony Palman', 'Detail', 'Jordan Evans', 'JAY-Z', 'Boi-1da', 'Matthew Burnett', 'David Porter', 'Isaac Hayes']",218330,40475.0
424,Practice,Take Care,2011-11-15,[],"['40', 'Drake']","['Drake', 'The Weeknd', '40', 'Adrian X']",58346,10787.0
425,Preach,If You’re Reading This It’s Too Late,2015-02-13,['PARTYNEXTDOOR'],['PARTYNEXTDOOR'],"['Ciara', '40', 'Kerry Brothers', 'Edwin Jantunen', 'Alicia Keys', 'PARTYNEXTDOOR', 'Drake']",703749,119674.0
426,Pure Evil*,<single>,,[],[],['Drake'],5883947,
427,Race My Mind,Certified Lover Boy,2021-09-03,[],"['40', 'Monsune', 'GOVI']","['Drake', '40', 'GOVI', 'Monsune', 'The Notorious B.I.G.', 'Easy Mo Bee', 'David Axelrod', 'Sun Ra', 'Rick James', 'Scott Zhang', 'Oliver El-Khatib']",5851754,585647.0
428,Ransom,Heartbreak Drake,2008-12-06,['Lil Wayne'],['Boi-1da'],"['Drake', 'Lil Wayne']",755,359632.0
429,Ratatouille,<single>,,['Quavo'],['Metro Boomin'],"['Metro Boomin', 'Quavo', 'Drake']",4216732,
430,Ratchet Happy Birthday,Scorpion,2018-06-29,[],"['Jahaan Sweet', 'D10', 'Boi-1da']","['D10', 'Leonard Caston', 'Anita Poree', 'Jahaan Sweet', 'Boi-1da', 'PARTYNEXTDOOR', 'Drake']",3807763,420582.0
431,Real Bad Karma,<single>,,['Bryson Tiller'],['Sonorous'],[],4843990,
432,Real ballin,<single>,,[],[],[],6734509,
433,Redemption,Views,2016-04-29,[],['40'],"['Drake', '40', 'Kenza Samir', 'Mike Olsen', 'Ray J', 'Rodney Jerkins', 'Fred Jerkins III', 'LaShawn Daniels']",2463403,132506.0
434,Replacement Girl,Comeback Season,2007-04-30,['Trey Songz'],"['Terrel “T. Slack”', 'T-Minus', 'Boi-1da']","['Terrel “T. Slack”', 'T-Minus', 'Boi-1da', 'Trey Songz', 'Drake']",3886,2622.0
435,Rewind,<single>,,['Voyce'],[],"['Drake', 'Voyce']",61587,
436,Right Hand,Feed The Streets 12,2015-07-27,[],"['Velous', 'Ging', 'Vinylz']","['Ging', 'Velous', 'Kaan Güneşberk', 'Vinylz', 'Drake']",2263725,909633.0
437,Right to Left,<single>,2009-04-27,"['Von Pea', 'Tanya Morgan']",['Boi-1da'],['Drake'],3004839,
438,Runaway Girl,Black Diamond 8 (Audible Narcotic),,['Colin Munroe'],['Tha Bizness'],[],51665,924577.0
439,Sacrifices,More Life,2017-03-18,"['Young Thug', '2 Chainz']","['Deejae', 'T-Minus']","['Deejae', 'T-Minus', '2 Chainz', 'Young Thug', 'Drake']",3028693,286515.0
440,Same Mistakes (Fall For Your Type),Young Sweet Jones 2,,[],['40'],"['40', 'Drake']",1808,348688.0
441,Sandra’s Rose,Scorpion,2018-06-29,[],"['Maneesh', 'DJ Premier']","['DJ Premier', 'Maneesh', 'Drake']",3807749,420582.0
442,Say Something,<single>,2007-11-03,[],"['J-Roc', 'Timbaland']","['Timm Clayton', 'Drake', 'J-Roc', 'Timbaland']",885676,
443,Say What’s Real,So Far Gone,2008-12-06,[],['Kanye West'],"['Kanye West', 'Jeff Bhasker', 'Drake']",870,2627.0
444,Scorpion Intro,<single>,,[],[],[],5729659,
445,Scriptures,<single>,2009-11-12,[],[],['Bipin Chandrupal'],53374,
446,Separate LivesVer,<single>,,[],[],[],57552,
447,Seriously Now,<single>,2014-05-02,[],['40'],[],422893,
448,Sex Tonight,<single>,,[],[],['Drake'],64752,
449,Share,Comeback Season,2007-09-01,[],['Häzel'],"['Häzel', 'Drake']",3319,2622.0
450,She Got Me,<single>,,['Roy Woods'],[],"['Roy Woods', 'Drake']",4426086,
451,She Just Wanna Dance,<single>,,['Trey Songz'],[],[],5714823,
452,Shot for Me,Take Care,2011-11-15,[],['40'],"['Drake', 'The Weeknd', '40', 'Rainer']",55601,10787.0
453,Show Me a Good Time,Thank Me Later,2010-06-15,[],"['Kanye West', 'No I.D.', 'Jeff Bhasker']","['No I.D.', 'Jeff Bhasker', 'Kanye West', 'Drake']",582,2630.0
454,Shut It Down,Thank Me Later,2010-06-15,['The-Dream'],"['Omen (Producer)', '40']","['Omen (Producer)', 'The-Dream', '40', 'Drake']",1842,2630.0
455,Side Pieces,<single>,2014-07-16,['Brian McKnight'],[],[],479790,
456,Signs,<single>,2017-06-22,[],"['Supa Dups', '40']","['Young Thug', 'Supa Dups', 'Ashante Reid', '40', 'Drake']",3129092,
457,Since Way Back,More Life,2017-03-18,['PARTYNEXTDOOR'],"['M3rge', 'TOPFLR', 'G. Ry', 'PARTYNEXTDOOR', '40']","['Michael Surio', 'G. Ry', 'M3rge', 'Warryn Campbell', '40', 'R. Kelly', 'PARTYNEXTDOOR', 'Drake']",3028710,286515.0
458,Skepta Interlude,More Life,2017-03-18,['Skepta'],['Nana Rogues'],"['Skepta', 'Nana Rogues']",3028685,286515.0
459,Slow It Down,<single>,,[],[],['Drake'],52961,
460,Smile,<single>,,['Voyce'],['Amir Obè'],"['Voyce', 'Drake']",56590,
461,Sneakin’,<single>,2016-10-23,['21 Savage'],['London on da Track'],"['Arsenio Archer', 'London on da Track', '21 Savage', 'Drake']",2890555,
462,SNL: Bag Jackin Bitches,<single>,2011-10-15,[],[],[],57290,
463,SNL: Bar Mitzvah in 1999,<single>,2014-01-19,[],['DJ Mordechai Jones'],['Drake'],343015,
464,Something,<single>,,[],['40'],['Drake'],1305,
465,Sooner Than Later,So Far Gone,2009-02-13,[],['D10'],"['D10', '40', 'Drake']",3571,2627.0
466,Sorry i fed ur dog batteries,<single>,,[],[],[],7051710,
467,Special,Room for Improvement,2006-02-14,['Voyce'],['DJ Ra'],"['Voyce', 'Drake', 'DJ Ra']",4810,2625.0
468,Star67,If You’re Reading This It’s Too Late,2015-02-13,[],"['Most High', 'Amir Obè', 'NYLZ', '40']","['Fred Muehlboeck', 'NYLZ', 'Ahkilo', 'Daniel Worthy', '40', 'Amir Obè', 'Drake']",703743,119674.0
469,Started from the Bottom,Nothing Was the Same,2013-02-01,[],"['40', 'Mike Zombie']","['Drake', '40', 'Mike Zombie']",113898,40475.0
470,Started From the Bottom Deluxe - Don’t Delete,<single>,,[],[],[],2318813,
471,Statement on Wireless,<single>,2014-07-03,[],[],[],481714,
472,Stay Down,<single>,,['Busta Rhymes'],['J\xa0Dilla'],"['Busta Rhymes', 'Drake']",5645139,
473,Sticky,"Honestly, Nevermind",2022-06-17,[],"['Gordo', 'RY X']","['Drake', 'Gordo', 'RY X']",8110888,880669.0
474,Still ballin,<single>,,[],[],[],5727923,
475,Still Drake,<single>,,['Trey Songz'],"['Mel-Man', 'Dr. Dre']","['Trey Songz', 'Drake']",55185,
476,Still Fly Freestyle,<single>,,[],['Mannie Fresh'],['Drake'],1562,
477,Still Got it,Young Sweet Jones,2010-08-06,[],[],['Drake'],50605,881461.0
478,Still Here,Views,2016-04-29,[],"['40', 'Maneesh', 'Daxz']","['Drake', '40', 'Maneesh', 'Daxz']",2463406,132506.0
479,S.T.R.E.S.S.,Room for Improvement,2006-02-14,['Nickelus F'],['Boi-1da'],"['Boi-1da', 'Nickelus F', 'Drake']",4928,2625.0
480,Stunt Hard,Heartbreak Drake,2009-12-19,"['Lil Wayne', 'Kidd Kidd']",[],"['Kidd Kidd', 'Drake', 'Lil Wayne']",6011,359632.0
481,Stunt on You,<single>,,[],[],['Drake'],62175,
482,Successful,So Far Gone,2009-02-13,"['Trey Songz', 'Lil Wayne']",['40'],"['40', 'Drake', 'Lil Wayne', 'Trey Songz']",486,2627.0
483,Successful (Demo),<single>,,[],[],[],49026,
484,Successful (Remix),<single>,,"['Trey Songz', 'Soulja Boy']",['40'],[],176193,
485,Summer Games,Scorpion,2018-06-29,[],"['40', 'No I.D.']","['Harley Arsenault', 'No I.D.', '40', 'Maneesh', 'Nineteen85', 'Drake']",3807747,420582.0
486,Summer Sixteen,<single>,2016-01-31,[],"['40', 'Boi-1da', 'CuBeatz']","['Boi-1da', '40', 'Tim Gomringer', 'Kevin Gomringer', 'Drake']",2415289,
487,Summer Sixteen (Live Remix),<single>,,[],"['CuBeatz', 'Boi-1da', '40']",['Drake'],2824212,
488,Summers Over Interlude,Views,2016-04-29,['Majid Jordan'],['Maneesh'],"['Maneesh', 'Majid Al Maskati']",2463397,132506.0
489,Survival,Scorpion,2018-06-29,[],"['40', 'No I.D.']","['Manuel Landy', 'Klaus Netzle', '40', 'No I.D.', 'Drake']",3807729,420582.0
490,Swagga Like Us,Heartbreak Drake,2009-12-13,['M.I.A.'],"['Kanye West', '40']",['Drake'],3175722,359632.0
491,Swagger Like Us,<single>,,[],[],['Drake'],51794,
492,Sweeterman (Remix),<single>,2015-07-11,[],['Jordan Francis'],"['Ramriddlz', 'Drake']",2016674,
493,Take Care,Take Care,2011-11-15,['Rihanna'],"['Jamie xx', '40']","['Drake', '40', 'Jamie xx', 'Anthony Palman']",58344,10787.0
494,Take You Down,<single>,,[],[],['Drake'],51771,
495,Take You Down (Freestyle),<single>,,[],[],[],1684658,
496,Take Your Girl,Heartbreak Drake,2009-12-15,[],['Lil Wayne'],['Drake'],3175719,359632.0
497,Talk Up,Scorpion,2018-06-29,['JAY-Z'],"['TWhy', 'DJ Paul']","['TWhy', 'Clarence “Satch” Satchell', 'Marvin Pierce', 'Billy Beck', 'James “Diamond” Williams', 'Dr. Dre', 'Junie Morrison', 'Ralph Middlebrooks', 'Marshall “Rock” Jones', 'Ice Cube', 'Sugarfoot', 'DJ Paul', 'JAY-Z', 'Drake']",3807753,420582.0
498,Teach U a Lesson (Freestyle),Comeback Season,2007-09-01,['Robin Thicke'],"['Pro-Jay', 'Robin Thicke']","['Pro-Jay', 'Robin Thicke', 'Drake']",18057,2622.0
499,Teach You A Lesson,<single>,,['Robin Thicke'],[],['Drake'],5622,
500,Teenage Fever,More Life,2017-03-18,[],['Hagler'],"['Fred Jerkins III', 'Jennifer Lopez', 'Cory Rooney', 'LaShawn Daniels', 'Rodney Jerkins', 'Hagler', 'Drake']",3028701,286515.0
501,Tell Me,Detox (2015 Demo),2015-08-01,['PARTYNEXTDOOR'],['Dr. Dre'],['Drake'],2449026,867661.0
502,Tell Me Lies,<single>,2007-10-19,[],[],[],63628,
503,Texts Go Green,"Honestly, Nevermind",2022-06-17,[],"['Esona Tyolo', 'Black Coffee']","['Drake', 'Esona Tyolo', 'Black Coffee', 'Noel Cadastre']",8110884,880669.0
504,Thank Me Later [Booklet],Thank Me Later,2010-06-15,[],[],[],2448969,2630.0
505,Thank Me Later [Liner Notes],<single>,,[],[],[],690232,
506,Thank Me Now,Thank Me Later,2010-06-15,[],['Timbaland'],"['Timbaland', 'Drake']",518,2630.0
507,Thank You Letter,<single>,2015-04-21,[],[],['Drake'],704453,
508,Thank You Note to 40,<single>,2016-04-28,[],[],['Drake'],2464078,
509,That’s How You Feel,Scorpion,2018-06-29,[],['Noel Cadastre'],"['Young Troy', 'Noel Cadastre', 'Nicki Minaj', 'Drake']",3807765,420582.0
510,The Calm,So Far Gone,2009-02-13,[],['40'],"['40', 'Drake']",151,2627.0
511,The Grind,Young Sweet Jones 2,,['Nickelus F'],[],"['Nickelus F', 'Young Money', 'Drake']",122306,348688.0
512,The Language,Nothing Was the Same,2013-09-24,[],"['Allen Ritter', 'Vinylz', 'Boi-1da']","['Drake', 'Birdman', 'Anthony Palman', 'Boi-1da', 'Allen Ritter', 'Vinylz']",217274,40475.0
513,The Last Hope,Comeback Season,2007-09-01,"['Andreena Mill', 'Kardinal Offishall']",['Rich Kidd'],"['Rich Kidd', 'TheBLKLT$', 'Kardinal Offishall', 'Drake']",2517,2622.0
514,The Motion,Nothing Was the Same,2013-06-22,['Sampha'],"['Sampha', '40']","['Sampha', '40', 'Drake']",176772,40475.0
515,The Motto,Take Care,2011-11-15,['Lil Wayne'],"['T-Minus', '40']","['Drake', 'Lil Wayne', 'T-Minus', '40', 'Sir Mix-a-Lot']",58325,10787.0
516,The Motto (Remix),Take Care,2011-11-15,"['Lil Wayne', 'Tyga']",['T-Minus'],"['Drake', 'Lil Wayne', 'Tyga', 'T-Minus', 'Mally Mall']",58566,10787.0
517,The Presentation,Comeback Season,2007-09-01,[],"['Rich Kidd', '40']","['40', 'Rich Kidd', 'Drake']",3320,2622.0
518,The Quimbo Dance,<single>,2022-11-27,[],"['Arloo', 'Vince Staples', 'Bladee']",['Genius Romanizations'],8594408,
519,The Real Her,Take Care,2011-11-15,"['Lil Wayne', 'André 3000']","['Drake', '40']","['Drake', 'André 3000', 'Lil Wayne', '40']",55599,10787.0
520,The Real Her (Original Version),<single>,,['Lil Wayne'],[],[],4941407,
521,The Remorse,Certified Lover Boy,2021-09-03,[],['40'],"['Anthony Hamilton', '40', 'Drake']",7165548,585647.0
522,The Resistance,Thank Me Later,2010-06-15,[],['40'],"['Oliver El-Khatib', 'Boi-1da', '40', 'Drake']",516,2630.0
523,The Resistance (Remix),Young Sweet Jones,2010-08-06,['Termanology'],['40'],"['Drake', 'Termanology', '40', 'Oliver El-Khatib', 'Boi-1da']",8234679,881461.0
524,The Ride,Take Care,2011-11-15,['The Weeknd'],"['Doc McKinney', 'The Weeknd']","['Drake', 'The Weeknd', 'Doc McKinney', 'Anthony Palman']",55694,10787.0
525,The Search,<single>,2009-07-31,['Saukrates'],['Rich Kidd'],[],50997,
526,These Days,<single>,2016-03-29,['Evil'],[],"['Evil', 'Drake']",2447168,
527,The Usual,Young Sweet Jones 2,,['Trey Songz'],[],"['Drake', 'Trey Songz']",57560,348688.0
528,The Winner,<single>,2009-08-15,[],['Tha Bizness'],"['Tha Bizness', 'Drake']",971,
529,Think Good Thoughts,Comeback Season,2007-09-01,"['Phonte', '\u200beLZhi']",['9th Wonder'],"['9th Wonder', 'Phonte', '\u200beLZhi', 'Drake']",18061,2622.0
530,Thrill Is Gone,Room for Improvement,2006-02-14,[],['AmiR (Producer)'],"['AmiR (Producer)', 'Drake']",5168,2625.0
531,Throw It in the Bag (Remix),<single>,2009-08-18,[],['Shatek'],"['The-Dream', 'Tricky Stewart', 'Drake']",1819365,
532,Tie That Binds,"Honestly, Nevermind",2022-06-17,[],"['Gordo', 'Vlado', 'Ramon Ginton']","['Drake', 'Gordo', 'Ramon Ginton', 'Vlado']",8110898,880669.0
533,Time Flies,Dark Lane Demo Tapes,2020-05-01,[],['OZ'],"['OZ', 'Drake']",5433461,630537.0
534,Time Flies (Demo),<single>,,['Future'],['OZ'],[],5531487,
535,Time Flies (Original),<single>,,['Tory Lanez'],['OZ'],"['OZ', 'Drake', 'Tory Lanez']",6977962,
536,Tim Westwood Freestyle,<single>,2010-06-10,[],[],['Drake'],3279,
537,Tim Westwood Freestyle 2012,<single>,2012-03-28,[],[],['Drake'],69682,
538,To Feel Things,<single>,2019-11-07,[],[],[],5004839,
539,Too Good,Views,2016-04-29,['Rihanna'],"['Nineteen85', 'Supa Dups', 'Maneesh', 'Adam Martin']","['Drake', 'Rihanna', 'Nineteen85', 'Supa Dups', 'Kenza Samir', 'Adam Martin', 'Dre Skull', 'Popcaan', 'Maneesh']",2463402,132506.0
540,Too Good (Demo),<single>,2016-04-30,['Rihanna'],[],[],2465185,
541,Too Good (Solo Demo),<single>,2016-04-30,[],"['Nineteen85', 'Maneesh']",[],4302003,
542,Too Much,Nothing Was the Same,2013-09-24,[],"['Nineteen85', 'Sampha']","['Nineteen85', 'Drake', 'Emile Haynie', 'Sampha']",217750,40475.0
543,Toosie Slide,Dark Lane Demo Tapes,2020-04-03,[],['OZ'],"['Drake', 'OZ']",5402847,630537.0
544,Tough Day at the Office [Rolling Stone Apology],<single>,,[],[],[],362448,
545,Trance (Original),<single>,,"['Travis Scott', 'Young Thug']","['Metro Boomin', 'Allen Ritter']",[],8694308,
546,Trophies,Young Money: Rise of an Empire,2013-12-30,[],"['Hit-Boy', 'Rey Reel', '40', 'Hagler']","['Rey Reel', 'Sharon Abshire', 'Bernard Joseph Gérard', '40', 'Hagler', 'Hit-Boy', 'Drake']",225050,78014.0
547,True Story*,<single>,,[],['Boi-1da'],['Drake'],4631413,
